u,v,moda,periode,w
Jakarta,Medan,KPNG,1,1
Jakarta,Medan,KPNG,2,2
Jakarta,Medan,KPNG,3,2
Jakarta,Medan,KPNG,5,2
Jakarta,Medan,KPNG,6,1
Jakarta,Medan,KPNG,7,1
Jakarta,Medan,KPNG,8,1
Jakarta,Medan,KPNG,9,1
Jakarta,Medan,KBRG,10,1
Jakarta,Medan,KPNG,12,2
Jakarta,Lampung,TRUK,2,9
Jakarta,Lampung,TRUK,3,12
Jakarta,Lampung,TRUK,4,8
Jakarta,Lampung,TRUK,5,12
Jakarta,Lampung,TRUK,6,5
Jakarta,Lampung,TRUK,7,4
Jakarta,Lampung,TRUK,9,6
Jakarta,Lampung,TRUK,10,4
Jakarta,Lampung,TRUK,11,8
Jakarta,Lampung,TRUK,12,12
Jakarta,Palembang,KBRG,1,1
Jakarta,Palembang,KBRG,2,1
Jakarta,Palembang,KBRG,3,1
Jakarta,Palembang,KBRG,4,1
Jakarta,Palembang,KBRG,5,1
Jakarta,Palembang,KBRG,6,1
Jakarta,Palembang,KBRG,7,1
Jakarta,Palembang,KBRG,9,1
Jakarta,Palembang,KBRG,10,1
Jakarta,Palembang,KBRG,11,1
Jakarta,Palembang,KBRG,12,1
Jakarta,Pekanbaru,KBRG,1,1
Jakarta,Pekanbaru,KBRG,2,1
Jakarta,Pekanbaru,KBRG,3,1
Jakarta,Pekanbaru,KBRG,4,1
Jakarta,Pekanbaru,KBRG,5,1
Jakarta,Pekanbaru,KBRG,6,2
Jakarta,Pekanbaru,KBRG,8,2
Jakarta,Pekanbaru,KBRG,10,1
Jakarta,Pekanbaru,KBRG,11,1
Jakarta,Pekanbaru,KBRG,12,1
Jakarta,Bandung,TRUK,1,15
Jakarta,Bandung,TRUK,2,25
Jakarta,Bandung,TRUK,3,25
Jakarta,Bandung,TRUK,4,14
Jakarta,Bandung,TRUK,5,15
Jakarta,Bandung,TRUK,6,14
Jakarta,Bandung,TRUK,11,14
Jakarta,Bandung,TRUK,12,8
Jakarta,Semarang,KRTA,1,2
Jakarta,Semarang,KRTA,2,3
Jakarta,Semarang,KRTA,3,2
Jakarta,Semarang,KRTA,4,3
Jakarta,Semarang,KRTA,5,2
Jakarta,Semarang,KRTA,6,5
Jakarta,Semarang,KRTA,10,1
Jakarta,Semarang,KRTA,12,4
Jakarta,Batam,KPNG,2,1
Jakarta,Batam,KPNG,3,1
Jakarta,Batam,KPNG,5,2
Jakarta,Batam,KPNG,7,1
Jakarta,Batam,KPNG,9,1
Jakarta,Batam,KPNG,10,1
Jakarta,Batam,KPNG,12,1
Jakarta,Serang,TRUK,6,6
Jakarta,Serang,TRUK,7,5
Jakarta,Serang,TRUK,8,4
Jakarta,Serang,TRUK,12,5
Jakarta,Cirebon,TRUK,1,2
Jakarta,Cirebon,TRUK,2,4
Jakarta,Cirebon,TRUK,3,3
Jakarta,Cirebon,TRUK,4,4
Jakarta,Cirebon,TRUK,6,8
Jakarta,Cirebon,TRUK,11,3
Jakarta,Cirebon,TRUK,12,4
Jakarta,Pontianak,KBRG,2,1
Jakarta,Pontianak,KBRG,3,1
Jakarta,Pontianak,KBRG,4,1
Jakarta,Pontianak,KBRG,9,1
Jakarta,Pontianak,KBRG,11,1
Jakarta,Pontianak,KBRG,12,1
Jakarta,Banjarmasin,KBRG,1,1
Jakarta,Banjarmasin,KBRG,3,1
Jakarta,Banjarmasin,KBRG,4,1
Jakarta,Banjarmasin,KBRG,5,1
Jakarta,Banjarmasin,KBRG,7,1
Jakarta,Banjarmasin,KBRG,8,1
Jakarta,Banjarmasin,KBRG,9,1
Jakarta,Banjarmasin,KBRG,10,1
Jakarta,Banjarmasin,KBRG,11,1
Jakarta,Balikpapan,KBRG,2,1
Jakarta,Balikpapan,KBRG,3,1
Jakarta,Balikpapan,KBRG,4,1
Jakarta,Balikpapan,KBRG,5,1
Jakarta,Balikpapan,KBRG,8,1
Jakarta,Balikpapan,KBRG,9,1
Jakarta,Surabaya,KRTA,1,2
Jakarta,Surabaya,KPNG,1,1
Jakarta,Surabaya,KPNG,2,2
Jakarta,Surabaya,KPNG,3,2
Jakarta,Surabaya,KPNG,4,3
Jakarta,Surabaya,KRTA,5,3
Jakarta,Surabaya,KPNG,5,1
Jakarta,Surabaya,KPNG,6,2
Jakarta,Surabaya,KRTA,6,4
Jakarta,Surabaya,KBRG,6,1
Jakarta,Surabaya,KPNG,9,1
Jakarta,Surabaya,KPNG,10,1
Jakarta,Surabaya,KPNG,11,1
Jakarta,Surabaya,KPNG,12,1
Jakarta,Manado,KPNG,2,1
Jakarta,Manado,KPNG,3,1
Jakarta,Manado,KPNG,5,1
Jakarta,Manado,KPNG,10,1
Jakarta,Manado,KPNG,12,1
Jakarta,Ternate,KBRG,3,1
Jakarta,Ternate,KBRG,5,1
Jakarta,Makassar,KPNG,1,1
Jakarta,Makassar,KPNG,3,1
Jakarta,Makassar,KPNG,4,1
Jakarta,Makassar,KPNG,5,1
Jakarta,Makassar,KPNG,6,2
Jakarta,Makassar,KPNG,7,1
Jakarta,Makassar,KPNG,8,1
Jakarta,Makassar,KPNG,9,1
Jakarta,Makassar,KPNG,10,1
Jakarta,Makassar,KPNG,11,1
Jakarta,Makassar,KPNG,12,1
Medan,Lhokseumawe,TRUK,1,6
Medan,Lhokseumawe,TRUK,2,3
Medan,Lhokseumawe,TRUK,3,3
Medan,Lhokseumawe,TRUK,4,4
Medan,Lhokseumawe,TRUK,5,4
Medan,Lhokseumawe,TRUK,6,10
Medan,Lhokseumawe,TRUK,8,3
Medan,Lhokseumawe,TRUK,9,2
Medan,Lhokseumawe,TRUK,10,3
Medan,Lhokseumawe,TRUK,11,5
Medan,Lhokseumawe,TRUK,12,3
Medan,Banda Aceh,TRUK,6,6
Medan,Pematang Siantar,TRUK,1,3
Medan,Pematang Siantar,TRUK,2,3
Medan,Pematang Siantar,TRUK,3,2
Medan,Pematang Siantar,TRUK,4,3
Medan,Pematang Siantar,TRUK,5,3
Medan,Pematang Siantar,TRUK,6,3
Medan,Pematang Siantar,TRUK,7,3
Medan,Pematang Siantar,TRUK,8,2
Medan,Pematang Siantar,TRUK,9,3
Medan,Pematang Siantar,TRUK,10,3
Medan,Pematang Siantar,TRUK,11,5
Medan,Pematang Siantar,TRUK,12,3
Medan,Sibolga,TRUK,1,3
Medan,Sibolga,TRUK,3,3
Medan,Sibolga,TRUK,5,2
Medan,Sibolga,TRUK,6,5
Medan,Sibolga,TRUK,8,4
Medan,Sibolga,TRUK,10,3
Medan,Sibolga,TRUK,11,3
Medan,Sibolga,TRUK,12,7
Pekanbaru,Padang,TRUK,3,6
Pekanbaru,Padang,TRUK,4,4
Pekanbaru,Padang,TRUK,5,8
Palembang,Jambi,TRUK,1,2
Palembang,Jambi,TRUK,2,3
Jambi,Palembang,TRUK,2,1
Palembang,Jambi,TRUK,3,2
Palembang,Jambi,TRUK,4,4
Palembang,Jambi,TRUK,5,10
Palembang,Jambi,TRUK,6,4
Palembang,Jambi,TRUK,7,2
Palembang,Jambi,TRUK,8,2
Palembang,Jambi,TRUK,9,4
Jambi,Palembang,TRUK,10,1
Palembang,Jambi,TRUK,10,3
Palembang,Jambi,TRUK,11,6
Palembang,Jambi,TRUK,12,6
Palembang,Pangkal Pinang,TRUK,2,1
Palembang,Pangkal Pinang,TRUK,3,1
Palembang,Pangkal Pinang,TRUK,4,2
Palembang,Pangkal Pinang,TRUK,5,2
Pangkal Pinang,Palembang,TRUK,6,4
Palembang,Pangkal Pinang,TRUK,7,1
Palembang,Pangkal Pinang,TRUK,8,1
Palembang,Pangkal Pinang,TRUK,10,1
Palembang,Pangkal Pinang,TRUK,11,1
Palembang,Pangkal Pinang,TRUK,12,2
Lampung,Bengkulu,TRUK,2,3
Lampung,Bengkulu,TRUK,3,2
Lampung,Bengkulu,TRUK,5,3
Lampung,Bengkulu,TRUK,6,7
Lampung,Bengkulu,TRUK,9,1
Lampung,Bengkulu,TRUK,11,3
Bandung,Tasikmalaya,TRUK,1,2
Bandung,Tasikmalaya,TRUK,2,6
Bandung,Tasikmalaya,TRUK,4,4
Bandung,Tasikmalaya,TRUK,6,7
Bandung,Tasikmalaya,TRUK,7,4
Bandung,Tasikmalaya,TRUK,8,3
Bandung,Tasikmalaya,TRUK,10,6
Bandung,Tasikmalaya,TRUK,12,5
Semarang,Solo,TRUK,1,4
Semarang,Solo,TRUK,2,7
Semarang,Solo,TRUK,3,4
Semarang,Solo,TRUK,4,2
Semarang,Solo,TRUK,5,3
Semarang,Solo,TRUK,6,16
Semarang,Solo,TRUK,7,1
Semarang,Solo,TRUK,10,5
Semarang,Solo,TRUK,12,20
Semarang,Yogyakarta,TRUK,1,5
Semarang,Yogyakarta,TRUK,2,9
Semarang,Yogyakarta,TRUK,3,2
Semarang,Yogyakarta,TRUK,4,5
Semarang,Yogyakarta,TRUK,5,12
Semarang,Yogyakarta,TRUK,6,15
Semarang,Yogyakarta,TRUK,10,7
Semarang,Yogyakarta,TRUK,11,4
Semarang,Yogyakarta,TRUK,12,23
Semarang,Purwokerto,TRUK,1,5
Semarang,Purwokerto,TRUK,2,3
Semarang,Purwokerto,TRUK,3,3
Semarang,Purwokerto,TRUK,4,3
Semarang,Purwokerto,TRUK,6,13
Semarang,Purwokerto,TRUK,7,1
Semarang,Purwokerto,TRUK,9,3
Semarang,Purwokerto,TRUK,10,2
Semarang,Purwokerto,TRUK,11,2
Semarang,Purwokerto,TRUK,12,3
Semarang,Tegal,TRUK,1,6
Semarang,Tegal,TRUK,2,6
Semarang,Tegal,TRUK,3,4
Semarang,Tegal,TRUK,4,1
Semarang,Tegal,TRUK,5,5
Semarang,Tegal,TRUK,6,11
Semarang,Tegal,TRUK,7,1
Semarang,Tegal,TRUK,8,2
Semarang,Tegal,TRUK,9,3
Semarang,Tegal,TRUK,10,1
Semarang,Tegal,TRUK,11,2
Semarang,Tegal,TRUK,12,5
Surabaya,Jember,TRUK,1,3
Surabaya,Jember,TRUK,2,8
Surabaya,Jember,TRUK,3,10
Surabaya,Jember,TRUK,4,10
Surabaya,Jember,TRUK,5,9
Surabaya,Jember,TRUK,6,21
Surabaya,Jember,TRUK,7,1
Surabaya,Kediri,TRUK,1,2
Surabaya,Kediri,TRUK,2,3
Surabaya,Kediri,TRUK,3,19
Surabaya,Kediri,TRUK,4,6
Surabaya,Kediri,TRUK,5,9
Surabaya,Kediri,TRUK,6,21
Surabaya,Kediri,TRUK,11,16
Surabaya,Kediri,TRUK,10,16
Surabaya,Kediri,TRUK,12,15
Surabaya,Malang,TRUK,2,3
Surabaya,Malang,TRUK,3,3
Surabaya,Malang,TRUK,4,3
Surabaya,Malang,TRUK,5,9
Surabaya,Malang,TRUK,6,15
Surabaya,Malang,TRUK,7,1
Surabaya,Malang,TRUK,11,3
Surabaya,Denpasar,TRUK,1,3
Surabaya,Denpasar,TRUK,2,15
Surabaya,Denpasar,TRUK,3,3
Surabaya,Denpasar,TRUK,4,9
Surabaya,Denpasar,TRUK,5,3
Surabaya,Denpasar,TRUK,7,3
Surabaya,Denpasar,TRUK,8,6
Surabaya,Denpasar,TRUK,10,3
Banjarmasin,Palangkaraya,TRUK,2,1
Banjarmasin,Palangkaraya,TRUK,3,2
Banjarmasin,Palangkaraya,TRUK,4,5
Banjarmasin,Palangkaraya,TRUK,5,4
Banjarmasin,Palangkaraya,TRUK,6,3
Banjarmasin,Palangkaraya,TRUK,7,2
Banjarmasin,Palangkaraya,TRUK,8,4
Banjarmasin,Palangkaraya,TRUK,9,2
Banjarmasin,Palangkaraya,TRUK,10,6
Banjarmasin,Palangkaraya,TRUK,11,3
Banjarmasin,Palangkaraya,TRUK,12,4
Balikpapan,Samarinda,TRUK,1,1
Balikpapan,Samarinda,TRUK,2,3
Balikpapan,Samarinda,TRUK,3,12
Balikpapan,Samarinda,TRUK,4,4
Balikpapan,Samarinda,TRUK,5,6
Balikpapan,Samarinda,TRUK,6,9
Balikpapan,Samarinda,TRUK,8,1
Balikpapan,Samarinda,TRUK,9,6
Balikpapan,Samarinda,TRUK,10,3
Balikpapan,Samarinda,TRUK,11,3
Balikpapan,Palu,TRUK,2,5
Balikpapan,Palu,TRUK,4,2
Balikpapan,Palu,TRUK,6,5
Balikpapan,Palu,TRUK,9,3
Balikpapan,Palu,TRUK,10,3
Balikpapan,Palu,TRUK,11,3
Balikpapan,Tarakan,TRUK,4,2
Balikpapan,Tarakan,TRUK,6,3
Balikpapan,Tarakan,TRUK,7,3
Balikpapan,Tarakan,TRUK,9,3
Balikpapan,Tarakan,TRUK,11,3
Denpasar,Mataram,KPNG,1,1
Denpasar,Mataram,KPNG,2,1
Denpasar,Mataram,KPNG,3,2
Denpasar,Mataram,KPNG,4,3
Denpasar,Mataram,KPNG,5,2
Denpasar,Mataram,KPNG,6,8
Denpasar,Mataram,KPNG,7,1
Denpasar,Mataram,KPNG,8,1
Denpasar,Mataram,KPNG,9,1
Denpasar,Mataram,KPNG,10,1
Denpasar,Mataram,KPNG,11,1
Denpasar,Mataram,KPNG,12,3
Makassar,Mamuju,TRUK,3,1
Makassar,Mamuju,TRUK,4,2
Makassar,Mamuju,TRUK,6,3
Makassar,Mamuju,TRUK,7,2
Makassar,Mamuju,TRUK,8,1
Makassar,Kupang,KBRG,2,1
Makassar,Kupang,KBRG,4,1
Makassar,Kupang,KBRG,6,1
Makassar,Kupang,KBRG,8,1
Makassar,Kupang,KBRG,9,1
Makassar,Kendari,TRUK,2,3
Makassar,Kendari,TRUK,5,3
Makassar,Kendari,TRUK,6,4
Makassar,Kendari,TRUK,8,2
Makassar,Kendari,TRUK,10,4
Makassar,Ambon,KBRG,2,1
Makassar,Ambon,KBRG,6,1
Makassar,Ambon,KBRG,7,1
Makassar,Ambon,KBRG,9,1
Makassar,Manokwari,KBRG,12,1
Makassar,Jayapura,KBRG,3,1
Makassar,Jayapura,KBRG,6,1
Makassar,Jayapura,KBRG,7,1
Makassar,Jayapura,KBRG,9,1
Manado,Ternate,KPNG,2,1
Manado,Ternate,KPNG,11,1
Manado,Ternate,KPNG,12,1
